startTime,publishTime,actualGen,forecastGen
2024-01-01T00:00:00,2023-12-31T23:00:00,18849.29,18845.25
2024-01-01T00:00:00,2023-12-31T20:00:00,18849.29,18974.13
2024-01-01T00:00:00,2023-12-31T12:00:00,18849.29,18912.9
2024-01-01T00:00:00,2023-12-31T00:00:00,18849.29,19615.22
2024-01-01T00:00:00,2023-12-30T00:00:00,18849.29,18906.91
2024-01-01T00:30:00,2023-12-31T23:30:00,15458.4,15491.88
2024-01-01T00:30:00,2023-12-31T20:30:00,15458.4,15594.5
2024-01-01T00:30:00,2023-12-31T12:30:00,15458.4,15585.58
2024-01-01T00:30:00,2023-12-31T00:30:00,15458.4,15030.1
2024-01-01T00:30:00,2023-12-30T00:30:00,15458.4,14959.09
2024-01-01T01:00:00,2024-01-01T00:00:00,19594.09,19611.93
2024-01-01T01:00:00,2023-12-31T21:00:00,19594.09,19505.36
2024-01-01T01:00:00,2023-12-31T13:00:00,19594.09,19436.77
2024-01-01T01:00:00,2023-12-31T01:00:00,19594.09,20352.44
2024-01-01T01:00:00,2023-12-30T01:00:00,19594.09,20522.12
2024-01-01T01:30:00,2024-01-01T00:30:00,15732.33,15695.95
2024-01-01T01:30:00,2023-12-31T21:30:00,15732.33,15799.33
2024-01-01T01:30:00,2023-12-31T13:30:00,15732.33,16003.08
2024-01-01T01:30:00,2023-12-31T01:30:00,15732.33,15222.02
2024-01-01T01:30:00,2023-12-30T01:30:00,15732.33,14869.1
2024-01-01T02:00:00,2024-01-01T01:00:00,25200.35,25210.71
2024-01-01T02:00:00,2023-12-31T22:00:00,25200.35,25099.25
2024-01-01T02:00:00,2023-12-31T14:00:00,25200.35,25224.58
2024-01-01T02:00:00,2023-12-31T02:00:00,25200.35,24790.73
2024-01-01T02:00:00,2023-12-30T02:00:00,25200.35,25899.42
2024-01-01T02:30:00,2024-01-01T01:30:00,19695.64,19669.75
2024-01-01T02:30:00,2023-12-31T22:30:00,19695.64,19850.74
2024-01-01T02:30:00,2023-12-31T14:30:00,19695.64,19225.69
2024-01-01T02:30:00,2023-12-31T02:30:00,19695.64,19976.05
2024-01-01T02:30:00,2023-12-30T02:30:00,19695.64,18649.01
2024-01-01T03:00:00,2024-01-01T02:00:00,16162.31,16121.4
2024-01-01T03:00:00,2023-12-31T23:00:00,16162.31,16226.47
2024-01-01T03:00:00,2023-12-31T15:00:00,16162.31,16302.02
2024-01-01T03:00:00,2023-12-31T03:00:00,16162.31,16560.58
2024-01-01T03:00:00,2023-12-30T03:00:00,16162.31,17403.96
2024-01-01T03:30:00,2024-01-01T02:30:00,20683.38,20668.11
2024-01-01T03:30:00,2023-12-31T23:30:00,20683.38,20648.35
2024-01-01T03:30:00,2023-12-31T15:30:00,20683.38,20487.92
2024-01-01T03:30:00,2023-12-31T03:30:00,20683.38,20679.4
2024-01-01T03:30:00,2023-12-30T03:30:00,20683.38,19642.83
2024-01-01T04:00:00,2024-01-01T03:00:00,20964.26,20989.0
2024-01-01T04:00:00,2024-01-01T00:00:00,20964.26,20913.93
2024-01-01T04:00:00,2023-12-31T16:00:00,20964.26,21360.33
2024-01-01T04:00:00,2023-12-31T04:00:00,20964.26,19971.4
2024-01-01T04:00:00,2023-12-30T04:00:00,20964.26,22263.31
2024-01-01T04:30:00,2024-01-01T03:30:00,18044.27,18075.81
2024-01-01T04:30:00,2024-01-01T00:30:00,18044.27,18178.22
2024-01-01T04:30:00,2023-12-31T16:30:00,18044.27,17758.48
2024-01-01T04:30:00,2023-12-31T04:30:00,18044.27,17247.35
2024-01-01T04:30:00,2023-12-30T04:30:00,18044.27,16927.23
2024-01-01T05:00:00,2024-01-01T04:00:00,17445.6,17471.22
2024-01-01T05:00:00,2024-01-01T01:00:00,17445.6,17485.66
2024-01-01T05:00:00,2023-12-31T17:00:00,17445.6,17709.33
2024-01-01T05:00:00,2023-12-31T05:00:00,17445.6,17495.58
2024-01-01T05:00:00,2023-12-30T05:00:00,17445.6,19189.41
2024-01-01T05:30:00,2024-01-01T04:30:00,24563.96,24576.89
2024-01-01T05:30:00,2024-01-01T01:30:00,24563.96,24541.5
2024-01-01T05:30:00,2023-12-31T17:30:00,24563.96,24290.21
2024-01-01T05:30:00,2023-12-31T05:30:00,24563.96,23714.81
2024-01-01T05:30:00,2023-12-30T05:30:00,24563.96,23941.64
2024-01-01T06:00:00,2024-01-01T05:00:00,15571.48,15541.49
2024-01-01T06:00:00,2024-01-01T02:00:00,15571.48,15664.91
2024-01-01T06:00:00,2023-12-31T18:00:00,15571.48,16012.23
2024-01-01T06:00:00,2023-12-31T06:00:00,15571.48,15388.22
2024-01-01T06:00:00,2023-12-30T06:00:00,15571.48,13853.51
2024-01-01T06:30:00,2024-01-01T05:30:00,15148.57,15119.96
2024-01-01T06:30:00,2024-01-01T02:30:00,15148.57,15277.0
2024-01-01T06:30:00,2023-12-31T18:30:00,15148.57,15006.66
2024-01-01T06:30:00,2023-12-31T06:30:00,15148.57,15635.1
2024-01-01T06:30:00,2023-12-30T06:30:00,15148.57,15154.48
2024-01-01T07:00:00,2024-01-01T06:00:00,29378.04,29373.88
2024-01-01T07:00:00,2024-01-01T03:00:00,29378.04,29281.55
2024-01-01T07:00:00,2023-12-31T19:00:00,29378.04,29187.57
2024-01-01T07:00:00,2023-12-31T07:00:00,29378.04,29021.99
2024-01-01T07:00:00,2023-12-30T07:00:00,29378.04,28889.67
2024-01-01T07:30:00,2024-01-01T06:30:00,28564.16,28593.87
2024-01-01T07:30:00,2024-01-01T03:30:00,28564.16,28726.97
2024-01-01T07:30:00,2023-12-31T19:30:00,28564.16,28359.38
2024-01-01T07:30:00,2023-12-31T07:30:00,28564.16,29034.18
2024-01-01T07:30:00,2023-12-30T07:30:00,28564.16,29582.71
2024-01-01T08:00:00,2024-01-01T07:00:00,21527.53,21551.06
2024-01-01T08:00:00,2024-01-01T04:00:00,21527.53,21419.62
2024-01-01T08:00:00,2023-12-31T20:00:00,21527.53,21435.49
2024-01-01T08:00:00,2023-12-31T08:00:00,21527.53,21108.47
2024-01-01T08:00:00,2023-12-30T08:00:00,21527.53,19747.75
2024-01-01T08:30:00,2024-01-01T07:30:00,23102.34,23113.93
2024-01-01T08:30:00,2024-01-01T04:30:00,23102.34,22947.52
2024-01-01T08:30:00,2023-12-31T20:30:00,23102.34,23512.57
2024-01-01T08:30:00,2023-12-31T08:30:00,23102.34,22723.21
2024-01-01T08:30:00,2023-12-30T08:30:00,23102.34,21639.62
2024-01-01T09:00:00,2024-01-01T08:00:00,29974.4,29975.9
2024-01-01T09:00:00,2024-01-01T05:00:00,29974.4,29950.45
2024-01-01T09:00:00,2023-12-31T21:00:00,29974.4,29689.71
2024-01-01T09:00:00,2023-12-31T09:00:00,29974.4,29648.86
2024-01-01T09:00:00,2023-12-30T09:00:00,29974.4,31090.66
2024-01-01T09:30:00,2024-01-01T08:30:00,26056.68,26072.24
2024-01-01T09:30:00,2024-01-01T05:30:00,26056.68,26119.08
2024-01-01T09:30:00,2023-12-31T21:30:00,26056.68,26459.87
2024-01-01T09:30:00,2023-12-31T09:30:00,26056.68,26303.72
2024-01-01T09:30:00,2023-12-30T09:30:00,26056.68,26841.09
2024-01-01T10:00:00,2024-01-01T09:00:00,22110.7,22087.21
2024-01-01T10:00:00,2024-01-01T06:00:00,22110.7,22215.72
2024-01-01T10:00:00,2023-12-31T22:00:00,22110.7,22175.54
2024-01-01T10:00:00,2023-12-31T10:00:00,22110.7,21342.94
2024-01-01T10:00:00,2023-12-30T10:00:00,22110.7,21121.8
2024-01-01T10:30:00,2024-01-01T09:30:00,16349.81,16319.58
2024-01-01T10:30:00,2024-01-01T06:30:00,16349.81,16296.57
2024-01-01T10:30:00,2023-12-31T22:30:00,16349.81,16336.48
2024-01-01T10:30:00,2023-12-31T10:30:00,16349.81,17069.8
2024-01-01T10:30:00,2023-12-30T10:30:00,16349.81,17145.87
2024-01-01T11:00:00,2024-01-01T10:00:00,17025.07,17049.93
2024-01-01T11:00:00,2024-01-01T07:00:00,17025.07,16921.63
2024-01-01T11:00:00,2023-12-31T23:00:00,17025.07,16831.95
2024-01-01T11:00:00,2023-12-31T11:00:00,17025.07,16755.15
2024-01-01T11:00:00,2023-12-30T11:00:00,17025.07,15699.67
2024-01-01T11:30:00,2024-01-01T10:30:00,23517.36,23553.93
2024-01-01T11:30:00,2024-01-01T07:30:00,23517.36,23457.63
2024-01-01T11:30:00,2023-12-31T23:30:00,23517.36,23894.94
2024-01-01T11:30:00,2023-12-31T11:30:00,23517.36,22930.73
2024-01-01T11:30:00,2023-12-30T11:30:00,23517.36,22910.04
2024-01-01T12:00:00,2024-01-01T11:00:00,28250.42,28226.04
2024-01-01T12:00:00,2024-01-01T08:00:00,28250.42,28229.47
2024-01-01T12:00:00,2024-01-01T00:00:00,28250.42,28345.19
2024-01-01T12:00:00,2023-12-31T12:00:00,28250.42,28719.0
2024-01-01T12:00:00,2023-12-30T12:00:00,28250.42,26522.1
2024-01-01T12:30:00,2024-01-01T11:30:00,21000.83,21011.87
2024-01-01T12:30:00,2024-01-01T08:30:00,21000.83,20960.41
2024-01-01T12:30:00,2024-01-01T00:30:00,21000.83,20601.42
2024-01-01T12:30:00,2023-12-31T12:30:00,21000.83,20116.39
2024-01-01T12:30:00,2023-12-30T12:30:00,21000.83,22731.57
2024-01-01T13:00:00,2024-01-01T12:00:00,24856.61,24867.01
2024-01-01T13:00:00,2024-01-01T09:00:00,24856.61,24787.2
2024-01-01T13:00:00,2024-01-01T01:00:00,24856.61,24540.08
2024-01-01T13:00:00,2023-12-31T13:00:00,24856.61,25232.16
